,time,carID,speed,loc,roadID,is_Service_Provider,task,cc,cp
432,65,11,60.0,350.00000000000006,1,False,C,2,30
433,65,17,140.0,350.0,3,False,B,3,20
434,65,8,100.0,805.555555555556,2,False,A,4,20
435,65,15,60.0,183.33333333333331,1,False,A,3,10
436,65,9,60.0,450.00000000000017,1,False,C,4,30
437,65,20,140.0,922.2222222222222,7,True,A,2,20
438,65,16,140.0,388.8888888888889,3,False,B,1,10
439,65,12,60.0,316.6666666666667,1,False,B,2,30
440,65,19,60.0,916.6666666666669,5,False,C,2,30
441,65,7,60.0,350.0000000000009,5,False,B,4,30
442,66,13,100.0,555.5555555555547,6,False,C,1,10
443,66,15,60.0,199.99999999999997,1,False,A,3,10
444,66,16,140.0,427.7777777777778,3,False,B,1,10
445,66,12,60.0,333.33333333333337,1,False,B,2,30
446,66,17,140.0,388.8888888888889,3,False,B,3,20
447,66,14,100.0,361.1111111111111,2,False,B,1,30
448,66,9,60.0,466.66666666666686,1,False,C,4,30
449,66,4,60.0,966.6666666666658,1,False,C,1,20
450,66,6,60.0,233.33333333333417,5,True,C,3,30
451,66,20,140.0,883.3333333333333,7,True,A,2,20
452,66,8,100.0,833.3333333333338,2,False,A,4,20
453,66,19,60.0,900.0000000000002,5,False,C,2,30
454,66,18,60.0,883.3333333333336,5,False,B,4,10
455,66,11,60.0,366.66666666666674,1,False,C,2,30
456,66,7,60.0,333.3333333333342,5,False,B,4,30
457,67,8,100.0,861.1111111111117,2,False,A,4,20
458,67,15,60.0,216.66666666666663,1,False,A,3,10
459,67,4,60.0,983.3333333333325,1,False,C,1,20
460,67,19,60.0,883.3333333333336,5,False,C,2,30
461,67,9,60.0,483.33333333333354,1,False,C,4,30
462,67,16,140.0,466.66666666666674,3,False,B,1,10
463,67,17,140.0,427.7777777777778,3,False,B,3,20
464,67,11,60.0,383.3333333333334,1,False,C,2,30
465,67,20,140.0,844.4444444444443,7,True,A,2,20
466,67,12,60.0,350.00000000000006,1,False,B,2,30
467,67,21,180.0,1000.0,8,True,C,1,20
468,67,6,60.0,216.6666666666675,5,True,C,3,30
469,67,7,60.0,316.66666666666754,5,False,B,4,30
470,67,13,100.0,527.7777777777769,6,False,C,1,10
471,67,14,100.0,388.88888888888886,2,False,B,1,30
472,67,18,60.0,866.666666666667,5,False,B,4,10
473,68,9,60.0,500.0000000000002,1,False,C,4,30
474,68,6,60.0,200.00000000000085,5,True,C,3,30
475,68,14,100.0,416.66666666666663,2,False,B,1,30
476,68,20,140.0,805.5555555555554,7,True,A,2,20
477,68,15,60.0,233.3333333333333,1,False,A,3,10
478,68,8,100.0,888.8888888888895,2,False,A,4,20
479,68,7,60.0,300.00000000000085,5,False,B,4,30
480,68,21,180.0,950.0,8,True,C,1,20
481,68,16,140.0,505.55555555555566,3,False,B,1,10
482,68,13,100.0,499.99999999999915,6,False,C,1,10
483,68,17,140.0,466.66666666666674,3,False,B,3,20
484,68,4,60.0,999.9999999999991,1,False,C,1,20
485,68,11,60.0,400.0000000000001,1,False,C,2,30
486,68,18,60.0,850.0000000000003,5,False,B,4,10
487,68,19,60.0,866.666666666667,5,False,C,2,30
488,68,12,60.0,366.66666666666674,1,False,B,2,30
489,69,6,60.0,183.3333333333342,5,True,C,3,30
490,69,20,140.0,766.6666666666665,7,True,A,2,20
491,69,11,60.0,416.6666666666668,1,False,C,2,30
492,69,17,140.0,505.55555555555566,3,False,B,3,20
493,69,18,60.0,833.3333333333337,5,False,B,4,10
494,69,8,100.0,916.6666666666673,2,False,A,4,20
495,69,21,180.0,900.0,8,True,C,1,20
496,69,15,60.0,249.99999999999994,1,False,A,3,10
497,69,13,100.0,472.2222222222214,6,False,C,1,10
498,69,19,60.0,850.0000000000003,5,False,C,2,30
499,69,9,60.0,516.6666666666669,1,False,C,4,30
500,69,7,60.0,283.33333333333417,5,False,B,4,30
501,69,14,100.0,444.4444444444444,2,False,B,1,30
502,69,16,140.0,544.4444444444446,3,False,B,1,10
503,69,12,60.0,383.3333333333334,1,False,B,2,30
504,70,11,60.0,433.3333333333335,1,False,C,2,30
505,70,20,140.0,727.7777777777776,7,True,A,2,20
506,70,16,140.0,583.3333333333335,3,False,B,1,10
507,70,12,60.0,400.0000000000001,1,False,B,2,30
508,70,6,60.0,166.66666666666754,5,True,C,3,30
509,70,19,60.0,833.3333333333337,5,False,C,2,30
510,70,18,60.0,816.6666666666671,5,False,B,4,10
511,70,17,140.0,544.4444444444446,3,False,B,3,20
